"id_mesa","id_establecimiento","descripcion","sexo","ciudadanos_habilitados","tipo","extranjera"
158,5035,158,,350,"Electronica","NO"
159,8753,159,,350,"Electronica","NO"
160,4037,160,,350,"Electronica","NO"
161,4041,161,,350,"Electronica","NO"
162,4046,162,,350,"Electronica","NO"
163,4030,163,,350,"Electronica","NO"
164,4033,164,,350,"Electronica","NO"
165,9326,165,,350,"Electronica","NO"
166,4121,166,,350,"Electronica","NO"
167,5040,167,,350,"Electronica","NO"
168,8064,168,,350,"Electronica","NO"
169,8788,169,,350,"Electronica","NO"
170,9320,170,,350,"Electronica","NO"
171,9323,171,,350,"Electronica","NO"
172,4112,172,,350,"Electronica","NO"
173,4115,173,,350,"Electronica","NO"
174,5041,174,,350,"Electronica","NO"
175,9329,175,,350,"Electronica","NO"
176,9332,176,,350,"Electronica","NO"
177,4131,177,,350,"Electronica","NO"
178,4153,178,,350,"Electronica","NO"
179,6427,179,,350,"Electronica","NO"
180,9335,180,,350,"Electronica","NO"
181,4076,181,,350,"Electronica","NO"
182,4077,182,,350,"Electronica","NO"
183,4084,183,,350,"Electronica","NO"
184,4086,184,,350,"Electronica","NO"
185,5046,185,,350,"Electronica","NO"
186,5047,186,,350,"Electronica","NO"
187,4094,187,,350,"Electronica","NO"
188,4095,188,,350,"Electronica","NO"
189,5314,189,,350,"Electronica","NO"
190,5315,190,,350,"Electronica","NO"
191,5338,191,,350,"Electronica","NO"
192,9338,192,,350,"Electronica","NO"
193,4097,193,,350,"Electronica","NO"
194,4099,194,,350,"Electronica","NO"
195,4101,195,,350,"Electronica","NO"
196,9341,196,,350,"Electronica","NO"
197,4010,197,,350,"Electronica","NO"
198,4015,198,,350,"Electronica","NO"
199,5030,199,,350,"Electronica","NO"
200,5032,200,,350,"Electronica","NO"
201,9344,201,,350,"Electronica","NO"
202,4810,202,,350,"Electronica","NO"
203,4815,203,,350,"Electronica","NO"
204,4829,204,,350,"Electronica","NO"
205,9347,205,,350,"Electronica","NO"
206,4009,206,,350,"Electronica","NO"
207,4770,207,,350,"Electronica","NO"
208,4775,208,,350,"Electronica","NO"
209,4825,209,,350,"Electronica","NO"
210,5150,210,,350,"Electronica","NO"
211,9350,211,,350,"Electronica","NO"
212,4049,212,,350,"Electronica","NO"
213,4764,213,,350,"Electronica","NO"
214,4766,214,,350,"Electronica","NO"
215,4793,215,,350,"Electronica","NO"
216,5072,216,,350,"Electronica","NO"
217,8084,217,,350,"Electronica","NO"
218,8886,218,,350,"Electronica","NO"
219,9306,219,,350,"Electronica","NO"
220,4180,220,,350,"Electronica","NO"
221,4308,221,,350,"Electronica","NO"
222,8889,222,,350,"Electronica","NO"
223,9353,223,,350,"Electronica","NO"
224,9356,224,,350,"Electronica","NO"
225,4190,225,,350,"Electronica","NO"
226,4217,226,,350,"Electronica","NO"
227,5079,227,,350,"Electronica","NO"
228,7880,228,,350,"Electronica","NO"
229,9359,229,,350,"Electronica","NO"
230,4177,230,,350,"Electronica","NO"
231,4184,231,,350,"Electronica","NO"
232,9363,232,,350,"Electronica","NO"
233,4239,233,,350,"Electronica","NO"
234,4293,234,,350,"Electronica","NO"
235,8645,235,,350,"Electronica","NO"
236,8647,236,,350,"Electronica","NO"
237,9366,237,,350,"Electronica","NO"
238,4304,238,,350,"Electronica","NO"
239,5321,239,,350,"Electronica","NO"
240,6463,240,,350,"Electronica","NO"
241,8160,241,,350,"Electronica","NO"
242,8688,242,,350,"Electronica","NO"
243,4250,243,,350,"Electronica","NO"
244,4303,244,,350,"Electronica","NO"
245,9150,245,,350,"Electronica","NO"
246,9369,246,,350,"Electronica","NO"
247,5086,247,,350,"Electronica","NO"
248,5087,248,,350,"Electronica","NO"
249,8672,249,,350,"Electronica","NO"
250,9157,250,,350,"Electronica","NO"
251,4170,251,,350,"Electronica","NO"
252,4173,252,,350,"Electronica","NO"
253,4218,253,,350,"Electronica","NO"
254,4219,254,,350,"Electronica","NO"
255,4246,255,,350,"Electronica","NO"
256,5320,256,,350,"Electronica","NO"
257,8106,257,,350,"Electronica","NO"
258,4176,258,,350,"Electronica","NO"
259,4179,259,,350,"Electronica","NO"
260,4191,260,,350,"Electronica","NO"
261,4197,261,,350,"Electronica","NO"
262,4211,262,,350,"Electronica","NO"
263,4214,263,,350,"Electronica","NO"
264,8466,264,,350,"Electronica","NO"
265,4154,265,,350,"Electronica","NO"
266,4187,266,,350,"Electronica","NO"
267,4188,267,,350,"Electronica","NO"
268,4213,268,,350,"Electronica","NO"
269,4245,269,,350,"Electronica","NO"
270,5075,270,,350,"Electronica","NO"
271,8471,271,,350,"Electronica","NO"
272,4198,272,,350,"Electronica","NO"
273,4199,273,,350,"Electronica","NO"
274,8094,274,,350,"Electronica","NO"
275,8096,275,,350,"Electronica","NO"
276,8474,276,,350,"Electronica","NO"
277,8477,277,,350,"Electronica","NO"
278,8480,278,,350,"Electronica","NO"
279,9072,279,,350,"Electronica","NO"
280,4141,280,,350,"Electronica","NO"
281,4144,281,,350,"Electronica","NO"
282,4147,282,,350,"Electronica","NO"
283,4194,283,,350,"Electronica","NO"
284,4210,284,,350,"Electronica","NO"
285,8486,285,,350,"Electronica","NO"
286,4472,286,,350,"Electronica","NO"
287,4473,287,,350,"Electronica","NO"
288,4474,288,,350,"Electronica","NO"
289,5154,289,,350,"Electronica","NO"
290,5059,290,,350,"Electronica","NO"
291,5060,291,,350,"Electronica","NO"
292,5063,292,,350,"Electronica","NO"
293,8489,293,,350,"Electronica","NO"
294,9224,294,,350,"Electronica","NO"
295,4168,295,,350,"Electronica","NO"
296,4225,296,,350,"Electronica","NO"
297,4226,297,,350,"Electronica","NO"
298,5066,298,,350,"Electronica","NO"
299,5067,299,,350,"Electronica","NO"
300,8492,300,,350,"Electronica","NO"
301,4719,301,,350,"Electronica","NO"
302,5068,302,,350,"Electronica","NO"
303,5069,303,,350,"Electronica","NO"
304,4156,304,,350,"Electronica","NO"
305,4157,305,,350,"Electronica","NO"
306,5071,306,,350,"Electronica","NO"
307,6589,307,,350,"Electronica","NO"
308,8861,308,,350,"Electronica","NO"
309,4051,309,,350,"Electronica","NO"
310,4780,310,,350,"Electronica","NO"
311,4783,311,,350,"Electronica","NO"
312,4794,312,,350,"Electronica","NO"
313,5137,313,,350,"Electronica","NO"
314,4737,314,,350,"Electronica","NO"
315,5139,315,,350,"Electronica","NO"
316,8097,316,,350,"Electronica","NO"
317,8864,317,,350,"Electronica","NO"
318,4117,318,,350,"Electronica","NO"
319,4122,319,,350,"Electronica","NO"
320,4127,320,,350,"Electronica","NO"
321,8867,321,,350,"Electronica","NO"
322,4195,322,,350,"Electronica","NO"
323,4200,323,,350,"Electronica","NO"
324,6657,324,,350,"Electronica","NO"
325,4132,325,,350,"Electronica","NO"
326,5317,326,,350,"Electronica","NO"
327,8870,327,,350,"Electronica","NO"
328,8872,328,,350,"Electronica","NO"
329,4110,329,,350,"Electronica","NO"
330,4136,330,,350,"Electronica","NO"
331,5051,331,,350,"Electronica","NO"
332,8883,332,,350,"Electronica","NO"
333,4133,333,,350,"Electronica","NO"
334,4165,334,,350,"Electronica","NO"
335,4172,335,,350,"Electronica","NO"
336,4185,336,,350,"Electronica","NO"
337,5316,337,,350,"Electronica","NO"
338,9282,338,,350,"Electronica","NO"
339,4105,339,,350,"Electronica","NO"
340,4106,340,,350,"Electronica","NO"
341,4107,341,,350,"Electronica","NO"
342,4148,342,,350,"Electronica","NO"
343,4149,343,,350,"Electronica","NO"
344,4162,344,,350,"Electronica","NO"
345,8879,345,,350,"Electronica","NO"
346,4717,346,,350,"Electronica","NO"
347,4722,347,,350,"Electronica","NO"
348,4727,348,,350,"Electronica","NO"
349,4735,349,,350,"Electronica","NO"
350,4739,350,,350,"Electronica","NO"
351,5131,351,,350,"Electronica","NO"
352,5152,352,,350,"Electronica","NO"
353,4706,353,,350,"Electronica","NO"
354,4716,354,,350,"Electronica","NO"
355,4821,355,,350,"Electronica","NO"
356,4830,356,,350,"Electronica","NO"
357,4836,357,,350,"Electronica","NO"
358,4839,358,,350,"Electronica","NO"
359,4843,359,,350,"Electronica","NO"
360,5146,360,,350,"Electronica","NO"
361,5148,361,,350,"Electronica","NO"
362,4703,362,,350,"Electronica","NO"
363,4761,363,,350,"Electronica","NO"
364,4769,364,,350,"Electronica","NO"
365,5121,365,,350,"Electronica","NO"
366,5124,366,,350,"Electronica","NO"
