"id_provincia","id_departamento","id_localidad","id_establecimiento","certificado","promiscuo","tel_fijo","direccion"
,,,9356,224,"NO",,
,,,4190,225,"NO",,
,,,4217,226,"NO",,
,,,5079,227,"NO",,
,,,7880,228,"NO",,
,,,9359,229,"NO",,
,,,4177,230,"NO",,
,,,4184,231,"NO",,
,,,9363,232,"NO",,
,,,4239,233,"NO",,
,,,4293,234,"NO",,
,,,8645,235,"NO",,
,,,8647,236,"NO",,
,,,9366,237,"NO",,
,,,4304,238,"NO",,
,,,5321,239,"NO",,
,,,6463,240,"NO",,
,,,8160,241,"NO",,
,,,8688,242,"NO",,
,,,4250,243,"NO",,
,,,4303,244,"NO",,
,,,9150,245,"NO",,
,,,9369,246,"NO",,
,,,5086,247,"NO",,
,,,5087,248,"NO",,
,,,8672,249,"NO",,
,,,9157,250,"NO",,
,,,4170,251,"NO",,
,,,4173,252,"NO",,
,,,4218,253,"NO",,
,,,4219,254,"NO",,
,,,4246,255,"NO",,
,,,5320,256,"NO",,
,,,8106,257,"NO",,
,,,4176,258,"NO",,
,,,4179,259,"NO",,
,,,4191,260,"NO",,
,,,4197,261,"NO",,
,,,4211,262,"NO",,
,,,4214,263,"NO",,
,,,8466,264,"NO",,
,,,4154,265,"NO",,
,,,4187,266,"NO",,
,,,4188,267,"NO",,
,,,4213,268,"NO",,
,,,4245,269,"NO",,
,,,5075,270,"NO",,
,,,8471,271,"NO",,
,,,4198,272,"NO",,
,,,4199,273,"NO",,
,,,8094,274,"NO",,
,,,8096,275,"NO",,
,,,8474,276,"NO",,
,,,8477,277,"NO",,
,,,8480,278,"NO",,
,,,9072,279,"NO",,
,,,4141,280,"NO",,
,,,4144,281,"NO",,
,,,4147,282,"NO",,
,,,4194,283,"NO",,
,,,4210,284,"NO",,
,,,8486,285,"NO",,
,,,4472,286,"NO",,
,,,4473,287,"NO",,
,,,4474,288,"NO",,
,,,5154,289,"NO",,
,,,5059,290,"NO",,
,,,5060,291,"NO",,
,,,5063,292,"NO",,
,,,8489,293,"NO",,
,,,9224,294,"NO",,
,,,4168,295,"NO",,
,,,4225,296,"NO",,
,,,4226,297,"NO",,
,,,5066,298,"NO",,
,,,5067,299,"NO",,
,,,8492,300,"NO",,
,,,4719,301,"NO",,
,,,5068,302,"NO",,
,,,5069,303,"NO",,
,,,4156,304,"NO",,
,,,4157,305,"NO",,
,,,5071,306,"NO",,
,,,6589,307,"NO",,
,,,8861,308,"NO",,
,,,4051,309,"NO",,
,,,4780,310,"NO",,
,,,4783,311,"NO",,
,,,4794,312,"NO",,
,,,5137,313,"NO",,
,,,4737,314,"NO",,
,,,5139,315,"NO",,
,,,8097,316,"NO",,
,,,8864,317,"NO",,
,,,4117,318,"NO",,
,,,4122,319,"NO",,
,,,4127,320,"NO",,
,,,8867,321,"NO",,
,,,4195,322,"NO",,
,,,4200,323,"NO",,
,,,6657,324,"NO",,
,,,4132,325,"NO",,
,,,5317,326,"NO",,
,,,8870,327,"NO",,
,,,8872,328,"NO",,
,,,4110,329,"NO",,
,,,4136,330,"NO",,
,,,5051,331,"NO",,
,,,8883,332,"NO",,
,,,4133,333,"NO",,
,,,4165,334,"NO",,
,,,4172,335,"NO",,
,,,4185,336,"NO",,
,,,5316,337,"NO",,
,,,9282,338,"NO",,
,,,4105,339,"NO",,
,,,4106,340,"NO",,
,,,4107,341,"NO",,
,,,4148,342,"NO",,
,,,4149,343,"NO",,
,,,4162,344,"NO",,
,,,8879,345,"NO",,
,,,4717,346,"NO",,
,,,4722,347,"NO",,
,,,4727,348,"NO",,
,,,4735,349,"NO",,
,,,4739,350,"NO",,
,,,5131,351,"NO",,
,,,5152,352,"NO",,
,,,4706,353,"NO",,
,,,4716,354,"NO",,
,,,4821,355,"NO",,
,,,4830,356,"NO",,
,,,4836,357,"NO",,
,,,4839,358,"NO",,
,,,4843,359,"NO",,
,,,5146,360,"NO",,
,,,5148,361,"NO",,
,,,4703,362,"NO",,
,,,4761,363,"NO",,
,,,4769,364,"NO",,
,,,5121,365,"NO",,
,,,5124,366,"NO",,
,,,4705,367,"NO",,
,,,4709,368,"NO",,
